"GeneLength","gene","GeneID","C.G"
1905,"KIAA2013","90231",0.66509186351706
2325,"PLOD1","5351",0.595698924731183
2274,"MFN2","9927",0.546613896218118
1167,"MIIP","60672",0.644387317909169
1788,"TNFRSF8","943",0.629753914988814
1455,"TNFRSF1B","7133",0.622680412371134
13167,"VPS13D","55187",0.469203311308574
909,"DHRS3","9249",0.5995599559956
1224,"AADACL4","343066",0.509803921568627
1224,"AADACL3","126767",0.513888888888889
585,"CFAP107","93190",0.52991452991453
1452,"PRAMEF12","390999",0.56198347107438
1425,"PRAMEF1","65121",0.516491228070175
1437,"PRAMEF11","440560",0.516353514265832
882,"HNRNPCL1","343069",0.479591836734694
1425,"PRAMEF2","65122",0.517894736842105
1437,"PRAMEF4","400735",0.510786360473208
1425,"PRAMEF10","343071",0.524210526315789
1425,"PRAMEF7","441871",0.559298245614035
1431,"PRAMEF6","440561",0.519217330538085
1437,"PRAMEF27","101929983",0.511482254697286
882,"HNRNPCL3","649330",0.485260770975057
1437,"PRAMEF25","441873",0.51704940848991
882,"HNRNPCL2","440563",0.477324263038549
1437,"PRAMEF26","645359",0.51704940848991
882,"HNRNPCL4","101060301",0.486394557823129
1437,"PRAMEF9","343070",0.515657620041754
1425,"PRAMEF13","400736",0.522105263157895
1440,"PRAMEF18","391003",0.530555555555556
1431,"PRAMEF5","343068",0.517819706498952
1425,"PRAMEF8","391002",0.55859649122807
1425,"PRAMEF33","645382",0.524912280701754
1437,"PRAMEF15","653619",0.51356993736952
1425,"PRAMEF14","729528",0.515789473684211
1440,"PRAMEF19","645414",0.529861111111111
1425,"PRAMEF17","391004",0.515789473684211
1428,"PRAMEF20","645425",0.528011204481793
885,"LRRC38","126755",0.653107344632768
711,"PDPN","10630",0.563994374120956
5157,"PRDM2","7799",0.474112856311809
2940,"KAZN","23254",0.609183673469388
762,"TMEM51","55092",0.591863517060367
4596,"FHAD1","114827",0.501523063533507
723,"EFHD2","79180",0.640387275242047
843,"CTRC","11330",0.597864768683274
810,"CELA2A","63036",0.6
810,"CELA2B","51032",0.591358024691358
1266,"CASP9","842",0.583728278041074
2349,"DNAJC16","23341",0.461047254150702
1059,"AGMAT","79814",0.606232294617564
1200,"DDI2","84301",0.515833333333333
1854,"RSC1A1","6248",0.428263214670982
3099,"PLEKHM2","23207",0.604711197160374
915,"SLC25A34","284723",0.65792349726776
1032,"TMEM82","388595",0.668604651162791
1125,"FBLIM1","54751",0.639111111111111
276,"UQCRHL","440567",0.489130434782609
10995,"SPEN","23013",0.519326966803092
2433,"ZBTB17","7709",0.627620221948212
510,"SRARP","149563",0.619607843137255
738,"HSPB7","27129",0.616531165311653
2064,"CLCNKA","1187",0.598352713178295
2064,"CLCNKB","1188",0.599321705426357
843,"FAM131C","348487",0.654804270462633
2931,"EPHA2","1969",0.618901398839986
2409,"ARHGEF19","128272",0.638439186384392
777,"CPLANE2","79363",0.62033462033462
2154,"FBXO42","54455",0.525533890436397
459,"SZRD1","26099",0.581699346405229
2088,"SPATA21","374955",0.602969348659004
822,"NECAP2","55707",0.590024330900243
510,"LOC124903856","124903856",0.568627450980392
366,"LOC124900386","124900386",0.628415300546448
510,"LOC124903857","124903857",0.582352941176471
6054,"CROCC","9696",0.679055170135448
552,"MFAP2","4237",0.585144927536232
3606,"ATP13A2","23400",0.633943427620632
843,"SDHB","6390",0.498220640569395
1998,"PADI2","11240",0.586586586586587
1992,"PADI1","29943",0.570281124497992
1995,"PADI3","51702",0.580952380952381
1992,"PADI4","23569",0.573293172690763
2085,"PADI6","353238",0.546282973621103
1569,"RCC2","55920",0.59974506054812
3840,"ARHGEF10L","55160",0.62890625
1101,"ACTL8","81569",0.595821980018165
1404,"IGSF21","84966",0.611823361823362
2334,"KLHDC7A","127707",0.652527849185947
1563,"PAX7","5081",0.629558541266795
2520,"TAS1R2","80834",0.589285714285714
1692,"ALDH4A1","8659",0.617021276595745
1554,"IFFO2","126917",0.64028314028314
15687,"UBR4","23352",0.517052336329445
2991,"EMC1","23065",0.535606820461384
720,"MRTO4","51154",0.526388888888889
1128,"AKR7A3","22977",0.618794326241135
1080,"AKR7A2","8574",0.638888888888889
1050,"SLC66A1","54896",0.586666666666667
921,"CAPZB","832",0.51357220412595
423,"MICOS10","440574",0.522458628841608
588,"MICOS10-NBL1","100532736",0.642857142857143
651,"NBL1","4681",0.632872503840246
1323,"HTR6","3362",0.681783824640968
2205,"TMCO4","255104",0.593650793650794
684,"RNF186","54546",0.635964912280702
1197,"OTUD3","23252",0.516290726817043
429,"PLA2G2E","30814",0.599067599067599
435,"PLA2G2A","5320",0.496551724137931
510,"PLA2G5","5322",0.550980392156863
438,"PLA2G2D","26279",0.577625570776256
660,"PLA2G2F","64600",0.601515151515152
453,"PLA2G2C","391013",0.558498896247241
843,"UBXN10","127733",0.524317912218268
3648,"VWA5B1","127731",0.602247807017544
237,"CAMK2N1","55450",0.60337552742616
1059,"MUL1","79594",0.565627950897073
990,"FAM43B","163933",0.742424242424242
441,"CDA","978",0.564625850340136
1746,"PINK1","65018",0.627720504009164
1320,"DDOST","1650",0.553787878787879
3192,"KIF17","57576",0.616854636591479
1272,"SH2D5","400745",0.669025157232704
1662,"HP1BP3","50809",0.472322503008424
5469,"EIF4G3","8672",0.481075150850247
2337,"ECE1","1889",0.563115104835259
1902,"NBPF3","84224",0.504206098843323
1575,"ALPL","249",0.594920634920635
2529,"RAP1GAP","5909",0.605773032819296
3108,"USP48","84196",0.425997425997426
819,"LDLRAD2","401944",0.669108669108669
13725,"HSPG2","3339",0.645464480874317
903,"CELA3B","23436",0.606866002214839
813,"CELA3A","10136",0.597785977859779
576,"CDC42","998",0.439236111111111
1122,"WNT4","54361",0.623885918003565
3720,"ZBTB40","9923",0.512903225806452
3018,"EPHA8","2046",0.65142478462558
738,"C1QA","712",0.628726287262873
738,"C1QC","714",0.631436314363144
762,"C1QB","713",0.599737532808399
3168,"EPHB2","2048",0.58364898989899
1740,"LACTBL1","646262",0.678735632183908
366,"TEX46","729059",0.489071038251366
2637,"KDM1A","23028",0.507015547971179
3231,"LUZP1","7798",0.489941194676571
1134,"HTR1D","3352",0.559082892416226
1986,"HNRNPR","10236",0.464753272910373
1413,"ZNF436","80818",0.474168435951875
1464,"TCEA3","6920",0.529371584699454
2781,"ASAP3","55616",0.599424667385832
1314,"E2F2","1870",0.625570776255708
360,"ID3","3399",0.638888888888889
537,"RPL11","6135",0.504655493482309
2319,"ELOA","6924",0.504959034066408
636,"PITHD1","57095",0.517295597484277
732,"LYPLA2","11313",0.598360655737705
1047,"GALE","2582",0.58261700095511
978,"HMGCL","3155",0.522494887525562
1401,"FUCA1","2517",0.526052819414704
1083,"CNR2","1269",0.558633425669437
420,"PNRC2","55629",0.4
789,"SRSF10","10772",0.43979721166033
4314,"MYOM3","127294",0.577422345850719
1725,"IL22RA1","58985",0.584927536231884
1563,"IFNLR1","163702",0.600767754318618
1881,"GRHL3","57822",0.55077086656034
1005,"STPG1","90529",0.464676616915423
1221,"NIPAL3","57185",0.530712530712531
726,"RCAN3","11123",0.480716253443526
309,"NCMAP","400746",0.55663430420712
2757,"SRRM1","10250",0.503808487486398
762,"CLIC4","25932",0.437007874015748
1290,"RUNX3","864",0.675193798449612
732,"SYF2","25949",0.448087431693989
873,"RSRP1","57035",0.548682703321879
1482,"RHD","6007",0.525641025641026
474,"TMEM50A","23585",0.421940928270042
1359,"RHCE","6006",0.578366445916115
1995,"MACO1","55219",0.452631578947368
927,"LDLRAP1","26119",0.604099244875944
1995,"MAN1C1","57134",0.601002506265664
1773,"SELENON","57190",0.626621545403271
879,"MTFR1L","56181",0.524459613196815
1116,"AUNIP","79000",0.479390681003584
1041,"PAQR7","164091",0.591738712776177
525,"STMN1","3925",0.491428571428571
1251,"PAFAH2","5051",0.531574740207834
2031,"EXTL1","2134",0.622353520433284
1119,"SLC30A2","7780",0.579982126899017
1062,"TRIM63","84676",0.536723163841808
1026,"PDIK1L","149420",0.436647173489279
816,"FAM110D","79927",0.727941176470588
561,"C1orf232","110806296",0.654188948306595
405,"ZNF593","51042",0.646913580246914
192,"ZNF593OS","118568799",0.625
2163,"CNKSR1","10256",0.610725843735552
1419,"CATSPER4","378807",0.533474277660324
2289,"CEP85","64793",0.519003931847969
282,"SH3BGRL3","83442",0.599290780141844
1563,"UBXN11","91544",0.612923864363404
186,"CD52","1043",0.5
5157,"CRYBG2","55057",0.617219313554392
1602,"ZNF683","257101",0.601747815230961
630,"LIN28A","79727",0.596825396825397
1005,"DHDDS","79947",0.548258706467662
273,"HMGN2","3151",0.512820512820513
2235,"RPS6KA1","6195",0.575391498881432
876,"LOC124900417","124900417",0.737442922374429
6858,"ARID1A","8289",0.598279381743949
1482,"PIGV","55650",0.519568151147099
1167,"ZDHHC18","84243",0.63324764353042
747,"SFN","2810",0.621151271753681
933,"GPN2","54707",0.608788853161844
1578,"GPATCH3","63906",0.5893536121673
1008,"NUDC","10726",0.536706349206349
774,"NR0B2","8431",0.629198966408269
1197,"KDF1","126695",0.621553884711779
444,"OSTCP2","646567",0.421171171171171
684,"TRNP1","388610",0.795321637426901
1278,"TENT5B","115572",0.651799687010955
2448,"SLC9A1","6548",0.590686274509804
2034,"WDTC1","23038",0.573254670599803
627,"TMEM222","84065",0.599681020733652
1785,"SYTL1","84958",0.657703081232493
3867,"MAP3K6","9064",0.638220843030773
900,"FCN3","8547",0.593333333333333
525,"CD164L2","388611",0.620952380952381
993,"GPR3","2827",0.605236656596173
1497,"WASF2","10163",0.531062124248497
4812,"AHDC1","27245",0.666043225270158
1590,"FGR","2268",0.586792452830189
417,"IFI6","2537",0.635491606714628
1026,"FAM76A","199870",0.480506822612086
831,"STX12","23673",0.476534296028881
1056,"PPP1R8","5511",0.519886363636364
1932,"THEMIS2","9473",0.609730848861284
837,"RPA2","6118",0.485065710872162
1458,"SMPDL3B","27293",0.569272976680384
1350,"XKR8","55113",0.62962962962963
1755,"EYA3","2140",0.447863247863248
1029,"PTAFR","5724",0.538386783284742
762,"DNAJC8","22826",0.434383202099738
321,"ATP5IF1","93974",0.53582554517134
1443,"SESN2","83667",0.618156618156618
627,"MED18","54797",0.51993620414673
2139,"PHACTR4","65979",0.484805984104722
1359,"RCC1","1104",0.590875643855776
864,"TRNAU1AP","54952",0.515046296296296
657,"RAB42","115273",0.648401826484018
642,"TAF12","6883",0.479750778816199
1722,"GMEB1","10691",0.500580720092915
1740,"YTHDF2","51441",0.482758620689655
1119,"OPRD1","4985",0.655942806076854
3045,"EPB41","2035",0.456814449917898
924,"TMEM200B","399474",0.718614718614719
1485,"SRSF4","6429",0.542087542087542
1380,"MECR","51102",0.548550724637681
4341,"PTPRU","10076",0.615987099746602
1491,"MATN1","4146",0.597585513078471
789,"LAPTM5","7805",0.556400506970849
1329,"SDC3","9672",0.662151993980436
3567,"PUM1","9698",0.517521726941407
240,"LOC124904579","124904579",0.533333333333333
624,"NKAIN1","79570",0.58974358974359
1074,"SNRNP40","9410",0.496275605214153
792,"ZCCHC17","51538",0.486111111111111
435,"FABP3","2170",0.498850574712644
1395,"SERINC2","347735",0.612186379928315
1404,"TINAGL1","64129",0.616096866096866
1278,"HCRTR1","3061",0.604851330203443
855,"PEF1","553115",0.584795321637427
4815,"COL16A1","1307",0.63717549325026
4758,"ADGRB2","576",0.637452711223203
3651,"SPOCD1","90853",0.62037797863599
504,"PTP4A2","8073",0.432539682539683
1332,"KHDRBS1","10657",0.569069069069069
1479,"TMEM39B","55116",0.575388776200135
1701,"KPNA6","23633",0.495002939447384
1740,"TXLNA","200081",0.571264367816092
726,"CCDC28B","79140",0.567493112947658
1641,"IQCC","55721",0.561243144424132
1050,"DCDC2B","149069",0.585714285714286
519,"TMEM234","56063",0.554913294797688
1317,"EIF3I","8668",0.54290053151101
492,"FAM167B","84734",0.664634146341463
1704,"LCK","3932",0.584507042253521
1449,"HDAC1","3065",0.500345065562457
588,"MARCKSL1","65108",0.634353741496599
384,"FAM229A","100128071",0.734375
807,"TSSK3","81629",0.546468401486989
1425,"BSDC1","55108",0.577543859649123
1488,"ZBTB8B","728116",0.553763440860215
1326,"ZBTB8A","653121",0.430618401206637
576,"ZBTB8OS","339487",0.453125
1278,"RBBP4","5928",0.447574334898279
1662,"SYNC","81493",0.548134777376655
3285,"KIAA1522","57648",0.663013698630137
1587,"YARS1","8565",0.500945179584121
1227,"S100PBP","64766",0.452322738386308
639,"FNDC5","252995",0.596244131455399
582,"HPCA","3208",0.570446735395189
723,"TMEM54","113452",0.616874135546335
2199,"RNF19B","127544",0.583447021373351
186,"LOC107984936","107984936",0.60752688172043
720,"AK2","204",0.523611111111111
1443,"AZIN2","113451",0.573111573111573
1428,"TRIM62","55223",0.63375350140056
1317,"ZNF362","149076",0.631738800303721
1023,"A3GALT2","127550",0.666666666666667
2646,"PHC2","1912",0.611866969009826
3132,"ZSCAN20","7579",0.529693486590038
10896,"CSMD2","114784",0.576082966226138
561,"HMGB4","127540",0.475935828877005
1797,"C1orf94","84970",0.567612687813022
822,"GJB5","2709",0.560827250608273
801,"GJB4","127534",0.601747815230961
813,"GJB3","2707",0.607626076260763
1002,"GJA4","2701",0.616766467065868
468,"SMIM12","113444",0.532051282051282
2940,"DLGAP3","58512",0.668027210884354
465,"TMEM35B","100506144",0.548387096774194
3978,"ZMYM6","9204",0.382101558572147
3519,"ZMYM1","79830",0.355498721227621
2124,"SFPQ","6421",0.572033898305085
4656,"ZMYM4","9202",0.424183848797251
3165,"KIAA0319L","79932",0.49478672985782
2190,"NCDN","23154",0.638356164383562
1329,"TFAP2E","339488",0.673438675696012
606,"PSMB2","5690",0.498349834983498
690,"C1orf216","127703",0.61304347826087
4020,"CLSPN","63967",0.434577114427861
2586,"AGO4","192670",0.475251353441609
2676,"AGO1","26523",0.54745889387145
2583,"AGO3","192669",0.455284552845528
1293,"TEKT2","27285",0.577726218097448
1092,"ADPRS","54936",0.605311355311355
2112,"COL8A2","1296",0.68844696969697
567,"TRAPPC3","27095",0.486772486772487
2526,"MAP7D1","55700",0.664687252573238
2868,"THRAP3","9967",0.495467224546722
2421,"SH3D21","79729",0.600578273440727
498,"EVA1B","55194",0.716867469879518
1323,"STK40","83931",0.587301587301587
372,"LSM10","84967",0.564516129032258
1170,"OSCP1","127700",0.499145299145299
774,"MRPS15","64960",0.51421188630491
2592,"CSF3R","1441",0.619212962962963
2760,"GRIK3","2899",0.575724637681159
1800,"ZC3H12A","80149",0.625
606,"MEAF6","64769",0.504950495049505
1191,"SNIP1","79753",0.550797649034425
777,"DNALI1","7802",0.568854568854569
2400,"GNL2","29889",0.459583333333333
792,"RSPO1","284654",0.621212121212121
846,"C1orf109","54955",0.557919621749409
843,"CDCA8","55143",0.513641755634638
3027,"EPHA10","284656",0.662371985464156
1374,"MANEAL","149175",0.634643377001456
840,"YRDC","79693",0.65
333,"C1orf122","127687",0.738738738738739
2262,"MTF1","4520",0.50972590627763
2742,"INPP5B","3633",0.491976659372721
1506,"SF3A3","10946",0.464807436918991
843,"FHL3","2275",0.584816132858837
762,"UTP11","51118",0.426509186351706
1356,"POU3F1","5453",0.743362831858407
1200,"RRAGC","64121",0.454166666666667
312,"MYCBP","26292",0.461538461538462
1548,"GJA9","81025",0.424418604651163
1152,"RHBDL2","54933",0.4921875
579,"AKIRIN1","79647",0.552677029360967
321,"NDUFS5","4725",0.479750778816199
22668,"MACF1","23499",0.464663843303335
1209,"BMP8A","353500",0.667493796526055
1983,"PABPC4","8761",0.523449319213313
987,"HEYL","26508",0.629179331306991
1107,"NT5C1A","84618",0.599819331526649
576,"HPCAL4","51440",0.579861111111111
945,"PPIE","10450",0.495238095238095
1284,"BMP8B","656",0.668224299065421
1554,"OXCT2","64064",0.62998712998713
1404,"TRIT1","54802",0.481481481481481
1185,"MYCL","4610",0.625316455696203
1632,"MFSD2A","84879",0.547794117647059
1428,"CAP1","10487",0.489495798319328
921,"PPT1","5538",0.503800217155266
5745,"RLF","6018",0.399129677980853
549,"TMCO2","127391",0.409836065573771
1428,"ZMPSTE24","10269",0.403361344537815
2082,"COL9A2","1298",0.682036503362152
1290,"SMAP2","64744",0.503100775193798
1608,"ZFP69B","65243",0.42910447761194
1584,"ZFP69","339559",0.424242424242424
1122,"EXO5","64789",0.486631016042781
1137,"ZNF684","127396",0.401055408970976
927,"RIMS3","9783",0.617044228694714
1635,"NFYC","4802",0.537614678899083
2088,"KCNQ4","9132",0.646072796934866
555,"CITED4","163732",0.781981981981982
1797,"CTPS1","1503",0.476349471341124
1224,"SLFNL1","200172",0.647875816993464
2013,"SCMH1","22955",0.531544957774466
537,"EDN2","1907",0.625698324022346
7221,"HIVEP3","59269",0.596731754604625
339,"GUCA2B","2981",0.631268436578171
348,"GUCA2A","2980",0.568965517241379
1893,"FOXJ3","22887",0.45958795562599
1176,"RIMKLA","284716",0.556122448979592
1098,"ZMYND12","84217",0.475409836065574
936,"PPCS","79717",0.556623931623932
2817,"CCDC30","728621",0.395456159034434
534,"PPIH","10465",0.47940074906367
975,"YBX1","4904",0.565128205128205
675,"CLDN19","149461",0.62962962962963
2415,"P3H1","64175",0.570600414078675
600,"C1orf50","79078",0.555
612,"TMEM269","100129924",0.511437908496732
201,"SVBP","374969",0.462686567164179
1626,"ERMAP","114625",0.534440344403444
948,"ZNF691","51058",0.55379746835443
1479,"SLC2A1","6513",0.588911426639621
453,"FAM183A","440585",0.509933774834437
1086,"EBNA1BP2","10969",0.516574585635359
3852,"CFAP57","149465",0.480789200415369
660,"TMEM125","128218",0.66969696969697
342,"C1orf210","149466",0.605263157894737
3417,"TIE1","7075",0.616915422885572
1908,"MPL","4352",0.591719077568134
1500,"CDC20","991",0.574666666666667
840,"ELOVL1","64834",0.516666666666667
906,"MED8","112950",0.525386313465784
10299,"SZT2","23334",0.585493737256044
909,"HYI","81888",0.622662266226623
5769,"PTPRF","5792",0.609291038308199
3195,"KDM4A","9682",0.502973395931142
1512,"ST3GAL3","6487",0.531084656084656
687,"ARTN","9048",0.768558951965066
2892,"IPO13","9670",0.566044260027663
1470,"DPH2","1802",0.610884353741497
786,"ATP6V0B","533",0.548346055979644
1206,"B4GALT2","8704",0.618573797678275
960,"CCDC24","149473",0.634375
2121,"SLC6A9","6536",0.592644978783593
1170,"KLF17","128209",0.561538461538462
3159,"KLF18","105378952",0.543526432415321
1404,"DMAP1","55929",0.57977207977208
1068,"ERI3","79033",0.546816479400749
1779,"RNF220","55182",0.55593029792018
834,"TMEM53","79639",0.601918465227818
1341,"ARMH1","339541",0.53765846383296
2178,"KIF2C","11004",0.502754820936639
627,"RPS8","6202",0.518341307814992
1422,"BEST4","266675",0.619549929676512
1941,"PLK3","1263",0.60844925296239
666,"DYNLT4","343521",0.731231231231231
1413,"BTBD19","149478",0.645435244161359
3612,"PTCH2","8643",0.617109634551495
1359,"EIF2B3","8891",0.458425312729948
2586,"HECTD3","79654",0.59860788863109
1104,"UROD","7389",0.566123188405797
3558,"ZSWIM5","57643",0.556773468240585
1116,"HPDL","84842",0.659498207885305
1650,"MUTYH","4595",0.610909090909091
1551,"TOE1","114034",0.543520309477756
1716,"TESK2","10420",0.527389277389277
498,"CCDC163","126661",0.5
849,"MMACHC","25974",0.586572438162544
600,"PRDX1","5052",0.46
978,"AKR1A1","10327",0.543967280163599
2373,"NASP","4678",0.463969658659924
2037,"CCDC17","149483",0.621993127147766
1425,"GPBP1L1","60313",0.496842105263158
744,"TMEM69","51249",0.423387096774194
1755,"IPP","3652",0.42962962962963
5613,"MAST2","23139",0.573846427935151
1524,"P3R3URF-PIK3R3","110117499",0.454724409448819
1437,"PIK3R3","8503",0.441196938065414
288,"P3R3URF","110117498",0.583333333333333
777,"TSPAN1","10103",0.50965250965251
2247,"POMGNT1","55624",0.566533155318202
720,"LURAP1","541468",0.626388888888889
2244,"RAD54L","8438",0.527629233511586
2439,"LRRC41","10489",0.590405904059041
276,"UQCRH","7388",0.503623188405797
1155,"NSUN4","387338",0.535064935064935
1740,"FAAH","2166",0.62183908045977
1149,"DMBX1","127343",0.639686684073107
534,"TMEM275","105378696",0.786516853932584
375,"KNCN","148930",0.616
1362,"MKNK1","8569",0.555066079295154
651,"MOB3C","148932",0.606758832565284
1056,"ATPAF1","64756",0.547348484848485
624,"TEX38","374973",0.552884615384615
1488,"EFCAB14","9813",0.45497311827957
1539,"CYP4B1","1580",0.564002599090318
1560,"CYP4A11","1579",0.556410256410256
1530,"CYP4X1","260293",0.494771241830065
1518,"CYP4Z1","199974",0.46969696969697
1560,"CYP4A22","284541",0.557051282051282
345,"PDZK1IP1","10158",0.597101449275362
1173,"TAL1","6886",0.701619778346121
3867,"STIL","6491",0.414274631497285
687,"CMPK1","51727",0.459970887918486
960,"FOXE3","2301",0.767708333333333
1488,"FOXD2","2306",0.743951612903226
1659,"TRABD2B","388630",0.63954189270645
2238,"SLC5A9","200010",0.587131367292225
1467,"SPATA6","54558",0.446489434219496
1596,"AGBL4","84871",0.494360902255639
1266,"BEND5","79656",0.532385466034755
1251,"ELAVL4","1996",0.49400479616307
1629,"DMRTA2","63950",0.737262124002455
1953,"FAF1","11124",0.447004608294931
489,"LOC124904176","124904176",0.680981595092024
